UID,"Applic
date",Loan/Card/Overdraft Type,Amount/AMD,Approved/declined,Reason of decline,"Approved
limit",Loyal/Payroll,Local Currency Average balance for last 1month (customer level),Local Currency Average balance for last 6 months (customer level),Credit turnover  for last 6 months (customer level),Debit turnover for last 6 months (customer level),Gender,Marital Status,# of children,Education Level,Home Ownership status,Relationship start date (with the Bank),ID Type,Citizenship,Country of Residency,Customer segment,Employer,Industry,Job Title,Occupation type,Employed since (current employer),Duration with previous employer (years),Other income weighted,Salary weighted,Experience(Current employer),Total Experience,Total income,Total turnover,Debt/Income
1146,20190925,5,1000000.0,0,21,1000000.0,1,149561.0,136872.0,4915788.0,-4541742.0,0,2,2.0,0,2,20170927,4,0,1,1,218,1,2220,3,20011220.0,0.0,0.0,7800000.0,17.775342465753425,17.775342465753425,93600000.0,374046.0,0.010683760683760684
38,20200518,5,325000.0,0,21,325000.0,1,807.0,927.0,529647.0,-837738.0,1,3,0.0,4,0,20200218,3,0,1,0,962,14,1465,2,20190804.0,0.0,0.0,1324908.0,0.7890410958904109,0.7890410958904109,15898896.0,-308091.0,0.020441670918534216
549,20180416,0,100000.0,0,21,100000.0,1,1530081.0,998411.0,3362268.0,-2062800.0,1,2,2.0,0,4,20000126,4,0,1,1,1126,1,1751,3,19990101.0,0.0,999600.0,5130192.0,19.301369863013697,19.301369863013697,62561904.0,1299468.0,0.0015984168256771725
1869,20181003,0,100000.0,0,21,100000.0,1,93281.0,80496.0,2027457.0,-2027800.0,1,3,0.0,4,0,20160730,4,0,1,1,1660,12,1315,3,20160418.0,0.0,0.0,3672000.0,2.4602739726027396,2.4602739726027396,44064000.0,-343.0,0.0022694262890341323
4228,20191023,5,470000.0,0,21,470000.0,1,15456.0,9117.0,2201330.0,-2306217.0,1,2,1.0,0,0,20131018,4,0,1,0,474,14,1743,2,20130204.0,0.0,0.0,2503488.0,6.717808219178083,6.717808219178083,30041856.0,-104887.0,0.01564483898731157
2995,20180529,0,400000.0,0,21,400000.0,1,6200.0,1027.0,399500.0,-371000.0,0,3,0.0,2,5,20180328,3,0,1,1,1689,12,2298,3,20180305.0,4.5,0.0,4800000.0,0.2328767123287671,4.732876712328767,57600000.0,28500.0,0.006944444444444444
3547,20201126,1,100000.0,0,21,100000.0,1,51987.0,54212.0,2295210.0,-2295670.0,1,2,1.0,0,4,20191213,3,0,1,1,1034,11,2352,0,20150501.0,0.0,0.0,3600000.0,5.578082191780822,5.578082191780822,43200000.0,-460.0,0.0023148148148148147
1559,20200427,5,500000.0,0,21,500000.0,1,72892.0,12347.0,362631.0,-169000.0,0,3,0.0,0,4,20200108,3,0,1,0,1315,12,1765,3,20190101.0,0.0,0.0,5592000.0,1.3205479452054794,1.3205479452054794,67104000.0,193631.0,0.007451120648545541
5169,20190920,0,2400000.0,0,21,2400000.0,1,73500.0,162585.0,6232552.0,-6188067.0,1,2,0.0,0,4,20150525,3,0,1,1,2073,12,1939,3,20150504.0,6.0,0.0,9911196.0,4.383561643835616,10.383561643835616,118934352.0,44485.0,0.020179199362014434
6219,20200923,4,670000.0,0,21,670000.0,1,73471.0,57948.0,3150176.0,-3079827.0,1,3,0.0,0,0,20181203,4,0,1,1,1369,18,1628,0,20170729.0,0.0,0.0,3097476.0,3.1561643835616437,3.1561643835616437,37169712.0,70349.0,0.018025428876069848
